Url;Size;YardSize;Price;District;Floor;TotalFloors;Type;BuildingType;Year
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164329705325263&slink=7yckyt&f1=1;36;0;43300;град София, Малинова долина;3;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164441801038811&slink=7yckyt&f1=1;36;0;44438;град София, Малинова долина;3;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163784168502942&slink=7yckyt&f1=1;36;0;46332;град София, Малинова долина;4;4;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162436390301743&slink=7yckyt&f1=1;36;0;46800;град София, Малинова долина;3;6;1-СТАЕН;Тухла;2022
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163534044401035&slink=7yckyt&f1=1;36;0;46800;град София, Малинова долина;1;5;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163654573145335&slink=7yckyt&f1=1;36;0;46890;град София, Малинова долина;2;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163966769215218&slink=7yckyt&f1=1;36;0;46891;град София, Малинова долина;1;5;1-СТАЕН;Тухла;2021
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163698313170512&slink=7yckyt&f1=1;36;0;46891;град София, Малинова долина;1;5;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163454497079891&slink=7yckyt&f1=1;36;0;46891;град София, Малинова долина;1;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163551624414690&slink=7yckyt&f1=1;36;0;46891;град София, Малинова долина;2;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164129576806156&slink=7yckyt&f1=1;36;0;46900;град София, Малинова долина;3;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163411510674298&slink=7yckyt&f1=1;36;0;46900;град София, Малинова долина;3;5;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164268458868967&slink=7yckyt&f1=1;36;0;50500;град София, Малинова долина;2;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164882231864583&slink=7yckyt&f1=1;36;0;50800;град София, Малинова долина;4;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164967652917782&slink=7yckyt&f1=1;36;0;56200;град София, Малинова долина;2;6;1-СТАЕН;Тухла;2023
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164642446699384&slink=7yckyt&f1=1;36;0;59800;град София, Малинова долина;4;7;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a165054428446303&slink=7yckyt&f1=1;36;0;59800;град София, Студентски град;4;6;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b161190842389569&slink=7yckyt&f1=1;36;0;60000;град София, Лозенец;1;6;2-СТАЕН;Тухла;2006
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h161028358184340&slink=7yckyt&f1=1;36;0;60000;град София, Лозенец;1;6;АТЕЛИЕ, ТАВАН;Тухла;2006
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164320859271454&slink=7yckzo&f1=1;37;0;48300;град София, Малинова долина;2;6;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164483226568476&slink=7yckzo&f1=1;37;0;43999;град София, Витоша;3;6;1-СТАЕН;Тухла;2024
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160448600501832&slink=7yckzo&f1=1;37;0;62000;град София, Зона Б-18;2;7;1-СТАЕН;Тухла;0
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163637564911782&slink=7yckzo&f1=1;37;0;85000;град София, Зона Б-18;5;8;1-СТАЕН;Панел;1978
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164906922876705&slink=7yckzo&f1=1;37;0;85980;град София, Левски;4;6;1-СТАЕН;Тухла;2012
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164939749161077&slink=7yckzo&f1=1;37;0;85990;град София, Левски;4;6;1-СТАЕН;Тухла;2012
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164907226126081&slink=7yckzo&f1=1;37;0;86000;град София, Левски;4;6;1-СТАЕН;Тухла;2012
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164884535091425&slink=7yckzo&f1=1;37;0;86000;град София, Левски;4;6;1-СТАЕН;Тухла;2012
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164958395681347&slink=7yckzo&f1=1;37;0;54945;град София, Люлин 4;9;14;1-СТАЕН;ЕПК;0
